group_ID,publisher_ID,publish_time,content
9922,B11201043,2023/9/23 03:47,今天在系管一樓開會
19097,B11701060,2023/9/19 23:20,今天在系管一樓開會
13302,R11943042,2023/12/10 04:57,今天開會完成報告書
8094,B08A02101,2023/9/13 02:28,今天在露易莎開會
13596,B08A01159,2023/9/20 20:08,今天晚上九點開會
5617,B11703118,2023/10/14 09:02,今天晚上九點開會
20506,R10541240,2023/10/8 01:17,今天開會完成報告書
19741,R09B22115,2023/11/26 18:43,今天在總圖討論室開會
6361,R11947027,2023/9/28 04:42,今天在系管一樓開會
17333,B10702043,2023/9/20 11:33,今天討論實作方法
12473,B11607054,2023/12/7 10:15,今天晚上八點半開會
11739,B09905028,2023/10/19 16:04,今天在星巴克開會
15241,R11944070,2023/11/28 21:14,今天晚上十點開會
12612,F08524070,2023/10/26 21:00,今天晚上八點半開會
13901,B09606035,2023/12/9 04:25,今天在綜合討論室開會
21033,B10903003,2023/12/11 14:34,今天開會完成報告書
5217,B05305017,2023/12/6 17:19,今天在星巴克開會
5247,B10201011,2023/12/8 18:47,今天在星巴克開會
17618,B09507039,2023/9/17 05:54,今天討論報告主題
9323,B09505036,2023/10/22 01:09,今天在系管一樓開會
8587,F10942024,2023/9/22 04:49,今天在星巴克開會
8474,B11601079,2023/11/13 03:35,今天討論工作分配
10888,B08306044,2023/9/10 08:21,今天晚上九點半開會
18683,B11102010,2023/11/28 00:29,今天開會完成報告書
17462,R09621073,2023/9/23 15:33,今天討論實驗結果
3391,B11101061,2023/9/17 06:00,今天晚上九點開會
10188,B11202001,2023/11/10 12:59,今天在星巴克開會
14185,B10403020,2023/12/1 00:28,今天在綜合討論室開會
4195,D01945017,2023/11/11 18:01,今天在綜合討論室開會
20775,B08501152,2023/11/20 06:26,今天在綜合討論室開會
9484,B10301102,2023/9/12 02:24,今天晚上八點半開會
10673,R10542039,2023/10/27 05:15,今天討論工作分配
11416,R11221240,2023/10/17 05:58,今天討論實作方法
11972,R07222028,2023/12/6 10:00,今天在星巴克開會
10818,R10222125,2023/11/10 18:02,今天討論實驗結果
3253,R11942009,2023/10/31 05:54,今天晚上十點開會
15240,B10102055,2023/12/7 22:00,今天晚上八點開會
14406,R11641073,2023/9/15 20:50,今天晚上十點開會
13705,B10404081,2023/11/14 13:14,今天晚上八點開會
