user ID,IG account,FB account
B10102025,B10102025_,B10102025_
R11641211,R11641211_,R11641211_
B11101004,B11101004_,B11101004_
B09A02019,B09A02019_,B09A02019_
R11521079,R11521079_,R11521079_
B11506033,B11506033_,B11506033_
R11527044,R11527044_,R11527044_
B08702109,B08702109_,B08702109_
B10504093,B10504093_,B10504093_
B10401212,B10401212_,B10401212_
R11945020,R11945020_,R11945020_
B09A01207,B09A01207_,B09A01207_
B11201016,B11201016_,B11201016_
B09101003,B09101003_,B09101003_
B10404025,B10404025_,B10404025_
B10205003,B10205003_,B10205003_
B11202160,B11202160_,B11202160_
B08304035,B08304035_,B08304035_
D05942150,D05942150_,D05942150_
B09402028,B09402028_,B09402028_
B10103032,B10103032_,B10103032_
B11H03003,B11H03003_,B11H03003_
B08702006,B08702006_,B08702006_
B11407A03,B11407A03_,B11407A03_
B11201045,B11201045_,B11201045_
F08921019,F08921019_,F08921019_
B10703020,B10703020_,B10703020_
B11502302,B11502302_,B11502302_
B10103082,B10103082_,B10103082_
B11202125,B11202125_,B11202125_
B08505007,B08505007_,B08505007_
B08303018,B08303018_,B08303018_
R10528023,R10528023_,R10528023_
B11501043,B11501043_,B11501043_
R10622025,R10622025_,R10622025_
B11701150,B11701150_,B11701150_
B11606041,B11606041_,B11606041_
B10502127,B10502127_,B10502127_
B08A01049,B08A01049_,B08A01049_
B10602126,B10602126_,B10602126_
B11402127,B11402127_,B11402127_
R10632217,R10632217_,R10632217_
B10501079,B10501079_,B10501079_
B09701082,B09701082_,B09701082_
B09502001,B09502001_,B09502001_
B10301016,B10301016_,B10301016_
B11202043,B11202043_,B11202043_
B09507028,B09507028_,B09507028_
B11502102,B11502102_,B11502102_
B10703077,B10703077_,B10703077_
B10101120,B10101120_,B10101120_
B11707055,B11707055_,B11707055_
B11101070,B11101070_,B11101070_
B11902055,B11902055_,B11902055_
B10705039,B10705039_,B10705039_
B10408004,B10408004_,B10408004_
B08903038,B08903038_,B08903038_
F09549080,F09549080_,F09549080_
B10602039,B10602039_,B10602039_
R11528118,R11528118_,R11528118_
B10201015,B10201015_,B10201015_
B09701120,B09701120_,B09701120_
B10302029,B10302029_,B10302029_
R11622339,R11622339_,R11622339_
B11100047,B11100047_,B11100047_
R10523142,R10523142_,R10523142_
B11405035,B11405035_,B11405035_
B09602024,B09602024_,B09602024_
B11105007,B11105007_,B11105007_
B08505022,B08505022_,B08505022_
B10102638,B10102638_,B10102638_
B08611040,B08611040_,B08611040_
B06405014,B06405014_,B06405014_
B11701239,B11701239_,B11701239_
B11505055,B11505055_,B11505055_
B11612005,B11612005_,B11612005_
R11622208,R11622208_,R11622208_
B10203022,B10203022_,B10203022_
B11402055,B11402055_,B11402055_
B09505055,B09505055_,B09505055_
B09303044,B09303044_,B09303044_
R10223082,R10223082_,R10223082_
B09902004,B09902004_,B09902004_
B09805015,B09805015_,B09805015_
B11508032,B11508032_,B11508032_
B08900016,B08900016_,B08900016_
R10622125,R10622125_,R10622125_
B05307023,B05307023_,B05307023_
B11108053,B11108053_,B11108053_
B06208312,B06208312_,B06208312_
B10703150,B10703150_,B10703150_
R10921052,R10921052_,R10921052_
B10501098,B10501098_,B10501098_
B05306023,B05306023_,B05306023_
B10605033,B10605033_,B10605033_
B08612717,B08612717_,B08612717_
B09504035,B09504035_,B09504035_
B10204038,B10204038_,B10204038_
R11H42119,R11H42119_,R11H42119_
B11401004,B11401004_,B11401004_
B08106028,B08106028_,B08106028_
B11615032,B11615032_,B11615032_
R10941010,R10941010_,R10941010_
R10631079,R10631079_,R10631079_
R11622115,R11622115_,R11622115_
B06407020,B06407020_,B06407020_
B08303018,B08303018_,B08303018_
B10709021,B10709021_,B10709021_
B10A06020,B10A06020_,B10A06020_
B11611141,B11611141_,B11611141_
B10701004,B10701004_,B10701004_
B10405015,B10405015_,B10405015_
R10623035,R10623035_,R10623035_
B11602043,B11602043_,B11602043_
R10245004,R10245004_,R10245004_
B09901043,B09901043_,B09901043_
F08528024,F08528024_,F08528024_
R11221012,R11221012_,R11221012_
B10305016,B10305016_,B10305016_
B09501026,B09501026_,B09501026_
B11106023,B11106023_,B11106023_
B10902014,B10902014_,B10902014_
R10924013,R10924013_,R10924013_
B08609007,B08609007_,B08609007_
B09401024,B09401024_,B09401024_
B10A04047,B10A04047_,B10A04047_
R11942638,R11942638_,R11942638_
B08A01102,B08A01102_,B08A01102_
B09107044,B09107044_,B09107044_
F08520015,F08520015_,F08520015_
B11313036,B11313036_,B11313036_
B10202150,B10202150_,B10202150_
B10701152,B10701152_,B10701152_
D09B41048,D09B41048_,D09B41048_
B10302824,B10302824_,B10302824_
R11120027,R11120027_,R11120027_
B10201808,B10201808_,B10201808_
B10302109,B10302109_,B10302109_
B10604049,B10604049_,B10604049_
B08301239,B08301239_,B08301239_
R11A21211,R11A21211_,R11A21211_
B11401026,B11401026_,B11401026_
R11221207,R11221207_,R11221207_
B11202638,B11202638_,B11202638_
B10901046,B10901046_,B10901046_
R11624034,R11624034_,R11624034_
B09302638,B09302638_,B09302638_
B09601013,B09601013_,B09601013_
R11948015,R11948015_,R11948015_
B07403044,B07403044_,B07403044_
B09901047,B09901047_,B09901047_
B11616033,B11616033_,B11616033_
B10108023,B10108023_,B10108023_
R10321066,R10321066_,R10321066_
R11642125,R11642125_,R11642125_
R08123055,R08123055_,R08123055_
B11702084,B11702084_,B11702084_
R10442717,R10442717_,R10442717_
B06202339,B06202339_,B06202339_
B09902106,B09902106_,B09902106_
R11943012,R11943012_,R11943012_
F09543044,F09543044_,F09543044_
B10617039,B10617039_,B10617039_
B10705020,B10705020_,B10705020_
B09101056,B09101056_,B09101056_
B11612339,B11612339_,B11612339_
