,course_ID,course_name,semester,department_ID
0,01001,大學國文：文學鑑賞與寫作（一）,112-1,0000
1,01002,大學國文：文學鑑賞與寫作（一）,112-1,0000
2,01003,大學國文：文學鑑賞與寫作（一）,112-1,0000
3,01004,大學國文：文學鑑賞與寫作（一）,112-1,0000
4,01005,大學國文：文學鑑賞與寫作（一）,112-1,0000
5,01006,大學國文：文學鑑賞與寫作（一）,112-1,0000
6,01007,大學國文：文學鑑賞與寫作（一）,112-1,0000
7,01008,大學國文：文學鑑賞與寫作（一）,112-1,0000
8,01009,大學國文：文學鑑賞與寫作（一）,112-1,0000
9,01010,大學國文：文學鑑賞與寫作（一）,112-1,0000
10,01011,大學國文：文學鑑賞與寫作（一）,112-1,0000
11,01012,大學國文：文學鑑賞與寫作（一）,112-1,0000
12,01013,大學國文：文學鑑賞與寫作（一）,112-1,0000
13,01014,大學國文：文學鑑賞與寫作（一）,112-1,0000
14,01015,大學國文：文學鑑賞與寫作（一）,112-1,0000
15,01016,大學國文：文學鑑賞與寫作（一）,112-1,0000
16,01017,大學國文：文學鑑賞與寫作（一）,112-1,0000
17,01080,大學國文：文學鑑賞與寫作（一）,112-1,4060
18,01018,大學國文：文學鑑賞與寫作（一）,112-1,0000
19,01019,大學國文：文學鑑賞與寫作（一）,112-1,0000
20,01021,大學國文：文學鑑賞與寫作（一）,112-1,0000
21,01022,大學國文：文學鑑賞與寫作（一）,112-1,0000
22,01023,大學國文：文學鑑賞與寫作（一）,112-1,0000
23,01024,大學國文：文學鑑賞與寫作（一）,112-1,0000
24,01025,大學國文：文學鑑賞與寫作（一）,112-1,0000
25,01026,大學國文：文學鑑賞與寫作（一）,112-1,0000
26,01027,大學國文：文學鑑賞與寫作（一）,112-1,0000
27,01028,大學國文：文學鑑賞與寫作（一）,112-1,0000
28,01029,大學國文：文學鑑賞與寫作（一）,112-1,0000
29,01030,大學國文：文學鑑賞與寫作（一）,112-1,0000
30,01031,大學國文：文化思想與寫作（一）,112-1,0000
31,01032,大學國文：文化思想與寫作（一）,112-1,0000
32,01033,大學國文：文化思想與寫作（一）,112-1,0000
33,01034,大學國文：文化思想與寫作（一）,112-1,0000
34,01035,大學國文：文化思想與寫作（一）,112-1,0000
35,01036,大學國文：文化思想與寫作（一）,112-1,0000
36,01037,大學國文：文化思想與寫作（一）,112-1,0000
37,01038,大學國文：文化思想與寫作（一）,112-1,0000
38,01039,大學國文：文化思想與寫作（一）,112-1,0000
39,01040,大學國文：文化思想與寫作（一）,112-1,0000
40,01041,大學國文：文化思想與寫作（一）,112-1,0000
41,01042,大學國文：文化思想與寫作（一）,112-1,0000
42,01043,大學國文：文化思想與寫作（一）,112-1,0000
43,01044,大學國文：文化思想與寫作（一）,112-1,0000
44,01045,大學國文：閱讀與寫作（一）,112-1,0000
45,01046,大學國文：閱讀與寫作（一）,112-1,0000
46,01047,大學國文：閱讀與寫作（一）,112-1,0000
47,01048,大學國文：閱讀與寫作（一）,112-1,0000
48,01049,大學國文：閱讀與寫作（一）,112-1,0000
49,01050,大學國文：閱讀與寫作（一）,112-1,0000
50,01051,大學國文：閱讀與寫作（一）,112-1,0000
51,01052,大學國文：閱讀與寫作（一）,112-1,0000
52,01053,大學國文：閱讀與寫作（一）,112-1,0000
53,01054,大學國文：閱讀與寫作（一）,112-1,0000
54,01055,大學國文：閱讀與寫作（一）,112-1,0000
55,01056,大學國文：閱讀與寫作（一）,112-1,0000
56,01057,大學國文：閱讀與寫作（一）,112-1,0000
57,01058,大學國文：閱讀與寫作（一）,112-1,0000
58,01059,大學國文：閱讀與寫作（一）,112-1,0000
59,01060,大學國文：閱讀與寫作（一）,112-1,0000
60,01077,大學國文：先秦兩漢文選上,112-1,1010
61,01078,大學國文：先秦兩漢文選上,112-1,1010
62,01079,大學國文：文言文導讀上,112-1,1011
63,01061,大學國文：進階語文上,112-1,0000
64,01062,大學國文：進階語文上,112-1,0000
65,01063,大學國文：進階語文上,112-1,0000
66,01064,大學國文：進階語文上,112-1,0000
67,01065,大學國文：進階語文上,112-1,0000
68,01066,大學國文：進階語文上,112-1,0000
69,01067,大學國文：中階語文上,112-1,0000
70,01068,大學國文：中階語文上,112-1,0000
71,01069,大學國文：中階語文上,112-1,0000
72,01070,大學國文：中階語文上,112-1,0000
73,01071,大學國文：初階語文上,112-1,0000
74,01072,大學國文：初階語文上,112-1,0000
75,01073,大學國文：初階語文上,112-1,0000
