,group_ID,user_ID,join_status,role,job
0,1,B11409011,Join,Leader,Undecided
1,2,B10303142,Join,Leader,Undecided
2,3,B09402022,Join,Leader,Undecided
3,2,R11924093,Join,Member,Undecided
4,4,R10921231,Join,Leader,Undecided
5,5,B08201025,Join,Leader,Undecided
6,6,B10301165,Join,Leader,Undecided
7,7,B10602160,Join,Leader,Undecided
8,8,B07102115,Join,Leader,Undecided
9,9,B11101043,Join,Leader,Undecided
10,9,F10941011,Join,Member,Undecided
11,10,B11615014,Join,Leader,Undecided
12,11,F08922024,Join,Leader,Undecided
13,12,R10943028,Join,Leader,Undecided
14,10,D09B49021,Join,Member,Undecided
15,13,B09A07021,Join,Leader,Undecided
16,14,R09621102,Join,Leader,Undecided
17,15,B11402024,Join,Leader,Undecided
18,16,B09302302,Join,Leader,Undecided
19,17,B10601140,Join,Leader,Undecided
20,18,B08A07033,Join,Leader,Undecided
21,19,B10616020,Join,Leader,Undecided
22,20,B11604035,Join,Leader,Undecided
23,21,B11618015,Join,Leader,Undecided
24,22,B08101152,Join,Leader,Undecided
25,23,R10922021,Join,Leader,Undecided
26,24,B10401011,Join,Leader,Undecided
27,25,B09601039,Join,Leader,Undecided
28,26,B11617020,Join,Leader,Undecided
29,27,B10301026,Join,Leader,Undecided
30,28,B11601075,Join,Leader,Undecided
31,29,B11309007,Join,Leader,Undecided
32,30,R10942151,Join,Leader,Undecided
33,31,B09501066,Join,Leader,Undecided
34,32,B11302056,Join,Leader,Undecided
35,33,B11101082,Join,Leader,Undecided
36,34,B09901150,Join,Leader,Undecided
37,35,B11611019,Join,Leader,Undecided
38,36,B10402011,Join,Leader,Undecided
39,37,R10941150,Join,Leader,Undecided
40,38,B09A02022,Join,Leader,Undecided
41,39,B11102056,Join,Leader,Undecided
42,40,B11613044,Join,Leader,Undecided
43,41,R11523012,Join,Leader,Undecided
44,42,F10942024,Join,Leader,Undecided
45,39,B08804051,Join,Member,Undecided
46,43,B09608024,Join,Leader,Undecided
47,44,B09403010,Join,Leader,Undecided
48,45,B09603006,Join,Leader,Undecided
49,46,B10601053,Join,Leader,Undecided
50,47,R10541061,Join,Leader,Undecided
51,48,B08501043,Join,Leader,Undecided
52,49,B11205020,Join,Leader,Undecided
53,50,R10941101,Join,Leader,Undecided
54,51,B10A01043,Join,Leader,Undecided
55,52,B09A01070,Join,Leader,Undecided
56,53,B11H03018,Join,Leader,Undecided
57,54,F10948032,Join,Leader,Undecided
58,55,R11222001,Join,Leader,Undecided
59,56,B08613065,Join,Leader,Undecided
60,57,B09603032,Join,Leader,Undecided
61,56,B11H04012,Join,Member,Undecided
62,58,B08702010,Join,Leader,Undecided
63,59,B10616020,Join,Leader,Undecided
64,60,B11101003,Join,Leader,Undecided
65,61,R10447044,Join,Leader,Undecided
66,62,B09902070,Join,Leader,Undecided
67,63,B06201101,Join,Leader,Undecided
68,64,F09443036,Join,Leader,Undecided
69,65,B11102129,Join,Leader,Undecided
70,66,B11705034,Join,Leader,Undecided
71,67,D01944026,Join,Leader,Undecided
72,68,R11124015,Join,Leader,Undecided
73,69,R08128053,Join,Leader,Undecided
74,70,B09102036,Join,Leader,Undecided
75,71,B10703015,Join,Leader,Undecided
76,72,B10202056,Join,Leader,Undecided
77,73,B10707020,Join,Leader,Undecided
78,74,B11405026,Join,Leader,Undecided
79,75,B08A06044,Join,Leader,Undecided
80,76,B10701101,Join,Leader,Undecided
81,77,D03947039,Join,Leader,Undecided
82,76,D03944204,Join,Member,Undecided
83,78,B09703044,Join,Leader,Undecided
84,79,B11614026,Join,Leader,Undecided
85,80,R10B43076,Join,Leader,Undecided
86,81,B10705028,Join,Leader,Undecided
87,81,R10A22125,Join,Member,Undecided
88,82,R10528023,Join,Leader,Undecided
89,83,B09605004,Join,Leader,Undecided
90,84,B09505004,Join,Leader,Undecided
91,85,R10522025,Join,Leader,Undecided
92,86,B11402151,Join,Leader,Undecided
93,87,B09501026,Join,Leader,Undecided
94,88,B09105020,Join,Leader,Undecided
95,89,B10706005,Join,Leader,Undecided
96,90,B11405035,Join,Leader,Undecided
97,91,B07A06023,Join,Leader,Undecided
98,88,B09103057,Join,Member,Undecided
99,92,B11311126,Join,Leader,Undecided
100,93,B10702036,Join,Leader,Undecided
101,94,B11602029,Join,Leader,Undecided
102,95,B09502004,Join,Leader,Undecided
103,96,B10703049,Join,Leader,Undecided
104,97,B10903020,Join,Leader,Undecided
105,98,B09403018,Join,Leader,Undecided
106,99,B10101204,Join,Leader,Undecided
107,100,B10B02056,Join,Leader,Undecided
108,101,B11501066,Join,Leader,Undecided
109,102,B09401091,Join,Leader,Undecided
110,103,B08105022,Join,Leader,Undecided
111,104,B08A08006,Join,Leader,Undecided
112,105,B09503057,Join,Leader,Undecided
113,103,B10902010,Join,Member,Undecided
114,105,R10B42009,Join,Member,Undecided
115,106,R10521072,Join,Leader,Undecided
116,107,B09901102,Join,Leader,Undecided
117,108,B09902034,Join,Leader,Undecided
118,109,B10701031,Join,Leader,Undecided
119,110,R10523142,Join,Leader,Undecided
120,111,B09905020,Join,Leader,Undecided
121,112,R10142036,Join,Leader,Undecided
122,111,B08103003,Join,Member,Undecided
123,113,R10B42125,Join,Leader,Undecided
124,114,B09201168,Join,Leader,Undecided
125,115,R11442039,Join,Leader,Undecided
126,116,B09501309,Join,Leader,Undecided
127,113,B11502084,Join,Member,Undecided
128,117,B11102638,Join,Leader,Undecided
129,118,B11702043,Join,Leader,Undecided
130,119,B11702006,Join,Leader,Undecided
