meet_ID,group_ID,host_ID,meet_name,start_time,end_time
1,18385,B11611040,工作分配,2023/10/5 16:30,2023/10/5 18:30
2,2978,B08301239,報告主題,2023/12/6 22:30,2023/12/7 00:30
3,7096,B10603055,完成報告書,2023/10/9 10:30,2023/10/9 12:30
4,10642,B10801066,工作分配,2023/11/26 10:00,2023/11/26 11:00
5,12823,B08502028,實作方法,2023/11/25 13:00,2023/11/25 15:00
6,2941,B10204047,報告主題,2023/9/5 13:00,2023/9/5 15:00
7,3475,B11618015,工作分配,2023/9/9 12:30,2023/9/9 13:30
8,17354,R11641022,實作方法,2023/11/15 09:00,2023/11/15 10:00
9,974,B08315009,實作方法,2023/11/5 15:30,2023/11/5 17:30
10,15545,R11942129,報告主題,2023/11/13 09:00,2023/11/13 10:00
11,13580,B11105036,報告主題,2023/12/1 10:30,2023/12/1 12:30
12,15798,R10525055,實驗結果,2023/12/3 18:30,2023/12/3 20:30
13,16620,R10A22717,實作方法,2023/11/8 22:00,2023/11/9 00:00
14,5725,B11602009,報告主題,2023/10/24 09:30,2023/10/24 10:30
15,12550,F07447023,工作分配,2023/12/4 14:30,2023/12/4 16:30
16,10760,B09104017,實作方法,2023/9/22 19:00,2023/9/22 20:00
17,10373,B10102045,完成報告書,2023/10/18 18:30,2023/10/18 20:30
18,15010,R10522100,工作分配,2023/9/12 12:30,2023/9/12 13:30
19,8821,B09901150,實驗結果,2023/11/5 11:00,2023/11/5 12:00
20,2739,R10523040,完成報告書,2023/10/13 13:00,2023/10/13 15:00
21,10320,R11253057,實驗結果,2023/11/3 13:30,2023/11/3 14:30
22,14806,B10202014,報告主題,2023/9/17 18:00,2023/9/17 19:00
23,1677,B11203068,實驗結果,2023/9/14 19:00,2023/9/14 21:00
24,7389,B08A01031,實驗結果,2023/11/18 10:00,2023/11/18 12:00
25,5467,B10202129,工作分配,2023/9/8 13:00,2023/9/8 14:00
26,4520,R11A20039,工作分配,2023/10/26 19:00,2023/10/26 20:00
27,5302,B07201004,報告主題,2023/11/11 16:00,2023/11/11 17:00
28,279,B11601004,報告主題,2023/12/12 19:30,2023/12/12 21:30
29,9692,B11601015,實作方法,2023/9/4 13:30,2023/9/4 15:30
30,2185,B10601022,完成報告書,2023/12/7 17:00,2023/12/7 19:00
31,20003,B09302016,實作方法,2023/10/31 15:00,2023/10/31 16:00
