meet_ID,user_ID,available_from,available_to
1,B11611040,2023/10/5 16:30,2023/10/5 18:30
2,B08301239,2023/12/6 22:30,2023/12/7 00:30
3,B10603055,2023/10/9 10:30,2023/10/9 12:30
3,B10603055,2023/9/15 13:00,2023/9/15 14:00
3,B10603055,2023/10/11 13:30,2023/10/11 15:30
3,B10603055,2023/10/9 16:30,2023/10/9 17:30
4,B10801066,2023/11/26 10:00,2023/11/26 11:00
4,B10801066,2023/10/1 10:30,2023/10/1 12:30
5,B08502028,2023/11/25 13:00,2023/11/25 15:00
5,B08502028,2023/10/12 12:00,2023/10/12 14:00
5,B08502028,2023/11/15 09:00,2023/11/15 11:00
6,B10204047,2023/9/5 13:00,2023/9/5 15:00
7,B11618015,2023/9/9 12:30,2023/9/9 13:30
7,B11618015,2023/12/5 14:00,2023/12/5 15:00
7,B11618015,2023/12/4 20:00,2023/12/4 21:00
7,B11618015,2023/10/7 18:30,2023/10/7 20:30
8,R11641022,2023/11/15 09:00,2023/11/15 10:00
8,R11641022,2023/11/2 18:00,2023/11/2 20:00
9,B08315009,2023/11/5 15:30,2023/11/5 17:30
9,B08315009,2023/11/1 14:30,2023/11/1 16:30
9,B08315009,2023/10/18 10:30,2023/10/18 12:30
9,B08315009,2023/10/14 17:30,2023/10/14 19:30
9,B08315009,2023/10/22 21:00,2023/10/22 22:00
10,B09801011,2023/11/13 09:00,2023/11/13 10:00
10,B09801011,2023/11/6 20:00,2023/11/6 21:00
10,B09801011,2023/12/9 10:00,2023/12/9 12:00
10,R11942129,2023/11/13 09:00,2023/11/13 10:00
10,R11942129,2023/11/4 10:30,2023/11/4 11:30
10,R11942129,2023/10/18 13:30,2023/10/18 14:30
10,R11622037,2023/11/13 09:00,2023/11/13 10:00
10,R11622037,2023/9/26 21:30,2023/9/26 23:30
10,R11622037,2023/9/16 12:00,2023/9/16 14:00
10,R10525055,2023/11/13 09:00,2023/11/13 10:00
10,R10525055,2023/10/5 10:00,2023/10/5 12:00
10,R10525055,2023/9/26 09:30,2023/9/26 10:30
10,R10525055,2023/9/19 19:30,2023/9/19 21:30
10,R10525055,2023/12/8 10:30,2023/12/8 11:30
10,R10525055,2023/10/23 20:00,2023/10/23 22:00
10,R10525055,2023/11/18 12:30,2023/11/18 14:30
11,B11105036,2023/12/1 10:30,2023/12/1 12:30
11,B11105036,2023/11/20 22:00,2023/11/20 23:00
11,B11708053,2023/12/1 10:30,2023/12/1 12:30
11,B11708053,2023/11/13 10:30,2023/11/13 12:30
11,B11708053,2023/11/15 10:30,2023/11/15 11:30
11,B11708053,2023/11/15 23:30,2023/11/16 00:30
11,B11708053,2023/9/7 12:30,2023/9/7 13:30
12,R10525055,2023/12/3 18:30,2023/12/3 20:30
12,R10525055,2023/10/25 12:00,2023/10/25 13:00
12,R10525055,2023/10/12 13:00,2023/10/12 15:00
12,R10525055,2023/10/11 11:00,2023/10/11 13:00
12,R10525055,2023/10/23 22:00,2023/10/24 00:00
12,R10525055,2023/11/6 19:00,2023/11/6 21:00
12,R10525055,2023/11/29 20:00,2023/11/29 21:00
13,R10A22717,2023/11/8 22:00,2023/11/9 00:00
13,R10A22717,2023/9/8 15:30,2023/9/8 17:30
13,R10A22717,2023/11/16 21:00,2023/11/16 22:00
14,B11602009,2023/10/24 09:30,2023/10/24 10:30
14,B11602009,2023/10/11 21:30,2023/10/11 23:30
15,B10203039,2023/12/4 14:30,2023/12/4 16:30
15,B11701011,2023/12/4 14:30,2023/12/4 16:30
15,B11701011,2023/10/16 11:00,2023/10/16 12:00
15,B11701011,2023/9/12 17:30,2023/9/12 19:30
15,B11701011,2023/10/26 09:30,2023/10/26 10:30
15,B11701011,2023/9/17 10:00,2023/9/17 12:00
15,B11701011,2023/11/25 21:30,2023/11/25 22:30
15,B08905009,2023/12/4 14:30,2023/12/4 16:30
15,B08905009,2023/11/28 21:00,2023/11/28 23:00
15,B08905009,2023/10/9 23:30,2023/10/10 01:30
15,B08905009,2023/12/2 18:00,2023/12/2 19:00
15,B08905009,2023/10/28 12:30,2023/10/28 14:30
15,F07447023,2023/12/4 14:30,2023/12/4 16:30
15,F07447023,2023/9/26 14:30,2023/9/26 15:30
15,F07447023,2023/11/26 20:30,2023/11/26 22:30
15,F07447023,2023/9/25 15:30,2023/9/25 16:30
16,B09104017,2023/9/22 19:00,2023/9/22 20:00
16,B09104017,2023/10/19 17:00,2023/10/19 18:00
17,B11B04081,2023/10/18 18:30,2023/10/18 20:30
