user_ID,course_ID,sememter,grade,display_on_introduction
B10102025,44488,112-1,,True
B10102025,44057,112-1,,False
R11641211,61467,112-1,,False
R11641211,73363,112-1,,True
R11641211,59760,112-1,,True
R11641211,11773,112-1,,False
R11641211,48503,112-1,,True
R11641211,16701,112-1,,False
B11101004,67688,112-1,,False
B11101004,30014,112-1,,True
B11101004,36535,112-1,,False
B11101004,15236,112-1,,False
B09A02019,25507,112-1,,True
B09A02019,29211,112-1,,False
B09A02019,6202,112-1,,True
B09A02019,70081,112-1,,True
B09A02019,38370,112-1,,False
B09A02019,44911,112-1,,True
R11521079,34830,112-1,,True
R11521079,85343,112-1,,False
R11521079,47862,112-1,,False
R11521079,76243,112-1,,True
B11506033,40485,112-1,,True
B11506033,37407,112-1,,True
R11527044,21419,112-1,,True
R11527044,18704,112-1,,False
R11527044,53369,112-1,,True
R11527044,67988,112-1,,True
R11527044,84136,112-1,,True
B08702109,3031,112-1,,True
B08702109,89318,112-1,,True
B10504093,53399,112-1,,False
B10504093,66425,112-1,,True
B10504093,67963,112-1,,True
B10504093,32625,112-1,,False
B10504093,20034,112-1,,True
B10504093,60293,112-1,,False
B10401212,75265,112-1,,True
B10401212,26201,112-1,,False
R11945020,32170,112-1,,False
R11945020,89318,112-1,,True
R11945020,76404,112-1,,True
R11945020,74771,112-1,,False
R11945020,51095,112-1,,False
R11945020,52657,112-1,,True
R11945020,52040,112-1,,True
B09A01207,74300,112-1,,True
B09A01207,46931,112-1,,False
B09A01207,3016,112-1,,True
B09A01207,37203,112-1,,False
B11201016,89069,112-1,,False
B11201016,50144,112-1,,False
B11201016,30941,112-1,,True
B11201016,57394,112-1,,True
B11201016,88154,112-1,,True
B11201016,42635,112-1,,True
B09101003,3036,112-1,,False
B09101003,28221,112-1,,False
B09101003,75265,112-1,,True
B09101003,33328,112-1,,False
B10404025,80086,112-1,,True
B10404025,60444,112-1,,True
B10205003,57879,112-1,,False
B10205003,85094,112-1,,False
B10205003,48515,112-1,,True
B10205003,11917,112-1,,True
B10205003,27494,112-1,,True
B11202160,25092,112-1,,False
B11202160,11337,112-1,,False
B08304035,67370,112-1,,True
B08304035,30902,112-1,,False
B08304035,95083,112-1,,False
